username,comment
@DrewishAF,"I&#39;ve spent so much time around Indian folks that I can read their facial expressions &amp; body language like a book.. <br>While you&#39;re in that kitchen, everyone back there is literally thinking, &quot;why you are staring at me dis way, my fren? What you are wanting me to do? And how does you smell so good??&quot;<br><br>Trust me, their English grammar isn&#39;t great, but if you read that statement with a thick Indian accent (in your head... aloud it sounds a bit racist) it is SPOT ON! <br><br> 🤣😂<br>But seriously, I&#39;ve made a ton of Indian friends. They&#39;re genuinely great people for the most part. There are some... backwards and bad practices they have that are still somewhat prominent in their culture (like rape gangs, near-zero rights for women [kinda based], and street pooping... Also &quot;bathing&quot; in the same river that a million people defecate into if the streets are too full)."
@gomezjfc,I just know I would get the runs from the first place
@billwhite1603,We need that food factory in America for those on fixed income.
@rirkc,Wow. The USA can take a page from India&#39;s lesson book for sure. Good work Sonny.
@Warwick316,Yea i would probably die from food poisoning in the first week
@lvmby,where did you find such a clean place in india?
@mr.unipandacorn4215,Why no shoes
@victorazevedo2783,"For a few pennies in India, one guy shapes the dough in his arm pit, and the next guy cuts the filling up with his toenail. Somosa!"
@absvideos3230,We NEED this kind of charity in UK
@bigbeefjoedaddy,Please stop breeding India. Its not sustainable . give it 10 more years it will be horrible
@Northsid3r26,@beastphilanthropy
@i-am-your-conscience,"This factory looks so clean for India, it must have opened only yesterday :D"
@Chbcfjkvddjkiuvcfr,The most important part to get a good samossa is to have dirt and filth spreaded on the walls of the kitchen.
@slotvideos1037,Spoons???
@happilyham6769,I hate how these people eat with their hands.  It&#39;s really fucking disgusting.
@MrFroggieNL,I really hope you fed 1000 people there during your visit
@AlT-vt3gb,it looks like instant diarrhea
@polarodriguez2924,Amazing work God Bless everyday ❤😊
@Jesusjjjj,I love a lot of Indian food but Indian people just make NOT want to go to India 😂😂😂
@jabsdrahm.3232,"Akshaya Chaitanya SO CLEAN, the MOST CLEANEST PLACE I HAVE SEEN IN INDIA !! I would eat there"
@_Bosley,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=207"">3:27</a> should I be surprised that some kitchen workers are barefoot?"
@RITAD1,Drumsticks are very nutrient-rich. Very delicious too!
@geoffreyrichardson8738,"A good news story, nice😊"
@preatore,Best samosa 💩
@lostinsydney,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=132"">2:12</a> Emergency Exit"
@brokenhands512,People popping off about helping out in an indian charity kitchen but wouldn&#39;t be caught doing it where they are from.
@evenkringsj,"Man id never eat from that first place, holy disguisting. That food factory however.. Night and day."
@kkgt6591,"Hygiene , water quality etc are very questionable in that country. Plus dont see them washing the veggies either."
@dherajsardar910,I was waiting for Sonny to try the drumstick😅😅. I was just watching them on his plate and thought now he will try a new vegetable and give review😂😂😂. But he didn&#39;t try🥲🥲
@shastrakar1,Wrong INDIA MAP BROOOOOO
@satsatdown,the samosa mascot looks like a pooh emoji
@alexcorona,Those workers are so tired of YouTubers.
@familyengineering5591,When do they add the feces?
@jaswats9645,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=325"">5:25</a><br>Either that dude is pregananant or he&#39;s got a serious case of fatty liver.<br>Honestly, i hope it&#39;s the former.😨"
@Calicapenergy88,"America could do the same thing as India feeding so many people, but we all know that’s asking to much. I love that they get to eat and be full"
@geoffreyrichardson8738,You can get the potato peeling machine from the Hobart kitchen equipment company. They are used in the military (ships and bases)
@hiren8325,Never heard anyone eating a samosa in a bun..🤨🤣🤣
@A1OFFENDER,"As an English man I just love India. We are family on a DNA level, we would be nothing without our Indian brothers and sisters &lt;3"
@epicshortvideos9199,Let’s increase some views in video…. Visit to India 😂😂😂😂
@ryanvargas4889,The samosa outside looked like the poop emoji 💩
@morrisfletcher4201,Great work Sonny!. This is incredible work their doing in India. Feeding millions of people who otherwise maybe wouldn&#39;t have anything to eat. More countries should be doing this.
@OskarDiceEnriquezll,Good Luck On Your New Business Brother \m/
@durkadann2943,my fat ass also thought they were hot dogs lmfao
@ToniWongCIM,Gave a like because... (after personally editing because of AI).<br><br>So. I needed to customise before sharing my comment 😂. <br><br>So machine guy does the job 😮.  It is delicious 😋
@Hanfugirl_Hanzi,2050 Superpower India💪🏾💪🏾💪🏾🇮🇳🙇🏽‍♂️
@ChuckTaylor-ct6fq,Two hungry people didn&#39;t get to eat that day because Sonny took a double portion .
@heatherkelly2457,Imagine they&#39;re ending world hunger with a simple gesture of compassion I&#39;m sharing this to Africa thank you for keeping your content real and honest❤
@LSGT5,This was extremely interesting but nothing compares to the red watch.
@andrewright8033,"I&#39;m so western culture, I kept wondering where his fork was!"
@johnknight1627,Love your videos  keep it up
@FPrill,"That charity creating meals for the needy, humanity at its best!!"
@ReelnRockn,What&#39;s with the poop meme outside that India restaurant? Yuck!
@ryanmendes972,Amazing work ❤God bless
@Brother-Louis,I don&#39;t understand. On the donations page it says that $1000 US:  &quot;You Pledge to serve 13 nutritious meals&quot;. 13 x 0.02 = 0.26.  Who takes the $999.74?
@MrSoso1050,very clean and hygienic
@YoungGirlz8463,if you travel to asia bring your own spoon
@ssejjdelorenz3152,Intresting Humane Idea for the  charity food. Thought of it back here at home
@TurinAlexander,"A good cause, and it being done well.  On top of that, the food looks delicious.  I would happily eat that any day."
@SoulSherlock007,Use gloves while touching food sonny
@ryankirimi1685,Hair nets while being so dirty and unhygienic 🤢🤮🤮
@elem3ntkid,"Sonny, Why cant we do something like this for our homeless in the US? Maybe you could look into that or start something we can donate to to help our people. I dont mean to disrespect anyone from other cultures or countires, but this is an amazing idea and we should also be doing it here in the US if we can."
@teleman07,Poo jokes making themselves. No need to even phrase them.
@adamluhring2482,"When asked how the food is so cheap, the answer given is automation and scale - but that can&#39;t be the explanation for $0.02 meals, two of which are sufficient to feed someone in a day. In America, 2000 calories worth of potatoes at wholesale would be $3.53, with no money going to prep, seasoning, heating, transportation, etc. Economies of scale are helpful, but they won&#39;t cancel out all overhead and <b>then</b> make something 1/176 the price. The real difference here has to involve either subsidies or underpaid farmers."
@myraholmes8702,This was the best one so far Sonny
@harshad7208,K.E.M mentioned 🗣️🗣️🗣️🗣️💪🏻💪🏻🦅🦅🦅
@motherearth9971,We can learn from them over here 😢
@motherearth9971,Beautiful ‼️‼️‼️‼️
@Melissa.Melissa_,I’ve never seen India so hygienic!
@coldera100,"i know its their culture to eat with their hands but at <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=1180"">19:40</a>, its gota be the worth kind of food to eat with your hands. a simple spoon would be so helpful"
@faatty1,I&#39;ve never heard of a samosa sandwich
@bradleybedard9474,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=383"">6:23</a> lmao!! You can see the guy cooking in the back give “the look”   The look of… stop talking and get me the F’ing cart before these bitches burn."
@AleksHQ,"Too hygienic no Indian enough, you are missing the expriences of having shit and stuff on your food."
@bestadvicever,EXCELLENT VIDEO @more best ever food review show . One of the best man !!!!
@Babba_karda_fun,Thank you Sunny for showing this side aswell
@MrMukbangPapi,We should start charity restaurants around the world 🌎
@ManojKumar-ex2or,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=59"">0:59</a> Indian MAP..!! <br> Didn&#39;t see that coming"
@jasoncapecod,love how the exit door is blocked and the bare feet lovely
@wez4171,Yes i love it when theres an india video!
@prakharmishra4351,Use correct map of india
@crossforced,this was sick to watch
@josephblessingh2384,This is what should be uploaded on his Indian channel and not without him
@bogsys,first guy saying samosas need to be hygenic and then seeing the second place is just 😂
@najahbrah,"@<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=804"">13:24</a> LOL wtf was that?"
@Daisy-f6f,"India has samosa,<br>Britain has fish &amp; chips,<br>India + Britain = Samosa, fish &amp; chips and sun-never-set Colonial Empire!  🤷"
@EddyFeyen,"LOL never used oil before says it all. If these kitchens would exist in Europe, they would be closed. But you see people are still alive and kicking over there."
@saltandvin,"stop trying to make &quot;seasonings&quot; happen, its not going to happen"
@babygiant6362,"we need these charitys in iran as well , one dollar is 840000 rials !!!"
@gacchan,More videos like this!
@treytison1444,This channel is way better than it&#39;s creepy AI thumbnails lol
@travelingkakabsat,Impressive!!
@nathangerrard9792,the samosa emoji looks like poop 🤣
@vinu_b6551,Drumstick is the fruit of the moringa tree...l&#39;arbre miracle
@saichandra9413,Happy to have u in India 😊
@saichandra9413,Tq for especting our culture and our food
@THECAR99,Honestly South Indian food is such simple and satisfying it&#39;s like anyone can have it. They&#39;re nice people too. I&#39;ve just been there for a month for treatment and missing it rn. Sambhar seemed quite simple to make but looking here now feels complex.
@catfish9539,The irony of you being made to cover your feet and hair when the samosa people had bare feet.
@USMC978,"I think I just saw Scott, my Microsoft tech."
@Ons_TV,Nooo they are also using AI art now😭😭😭🙏🙏
@mauriciojosseauquivira-pv4er,"Como siempre, la comida de la india se ve asquerosa y poco higiénica 🤢 (sobre todo porque comen con la mano desnuda, sin utencilios), nadie mezclaría un postre con la comida, eso es repugnante 🤮 ."
@gloriawinbush1590,🌞Really Sonny - carb on carb and you&#39;re drinking an coke 🤔.<br>Love the samosas staff 🥰.<br>Much respect to all the staff that unites to help the less fortunate.<br>Thank all of you for sharing joy 😍!
@iamarfa,Love this
@sofiqulislam6447,akshaya chaitanya bhai salam hai Tujhe. <br>🍑🩳 jahapana taufa kabool karo. <br>Lots of love to u
@rohitraj-df8qs,nicee
@yoshi92tx,😂 Indian peoples wear gloves? This is a first for me
@michaeldavin2009,Yet America can&#39;t do anything...smh
@DominickThreet,I watch these videos while eating
@ladyluck5400,"This is the Sonny Side style I fell in love with some years ago! This is raw, talented journalism, amazing editing and storytelling, and most of all, traveling the whole wide world to tell a powerful food story ... Keep up the amazing work, Sonny!  👍🙏🏻🤷"
@trucidio,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=570"">9:30</a> was that in India? so rare to see this, lol!"
@giorgijeiranishvili865,Please come to country Georgia
@Notiamfaith,Thats amazing to see it has to be said
@Tybrarian,"This is amazing! Where does the funding for this come from? Is it purely good will donations, or is this a government subsidy?"
@stebopign,sonny finally shows up in india. no more fake best ever food review india. hahahhaa
@wicked1rish,I thought you said you would never go back to India after the way they treated you the first time?
@yograjv983,Sonny you are gem of a person. Thank you for visiting India ❤
@db4690,2 cents for diarrhea is a steal
@haroldsmith6640,why doesn&#39;t America have this.
@madib2122,More hygienic than any fast food or grocery story i’ve been too! beautiful food and people!
@eborwanmirabon1991,Seem like samosa chef don’t give a shit about you 😅😅😅
@Glenda-bh7ul,You&#39;re going to have to make a much longer video of this place. This is absolutely beautiful and very nice.
@mccoymrm,That&#39;s the cleanest Indian food I&#39;ve ever seen.
@PhysicsGaunt,"There is no way he went to a charity kitchen as a wealthy american and asked for double, lmao <br><br>(just kidding, I am sure they have been paid, just funny to think about)"
@trouterman420,this is the cleanest kitchen in india. they are even wearing shoes.. edit: nvm they&#39;re not
@pivkaaa,amazing
@tronicdeep3946,"I wanna do this in Africa, it&#39;s going to be my future goal"
@captainfooey1857,Seeeeaaaasoning 😄🥰
@j.w.novotny4357,Is he making the samosas with his feet tho? Is a dirty shoe cleaner than a dirty foot?
@shanedsilva784,The white vege is bottle gourd I think and drumstick is moringa :P
@leticiaB88,Huuu peeeaaaaassss 🫛
@UncleBuck560,Bro.  I&#39;ve been to India several times.  India has the best food in the world!!!  Mujko jada masala pasand hai!!!
@markcraig4036,"16,000 at 2c? What could America do to mirror this much success? 2$ per meal here in the US would b incredible. But some ppl have nut allergens. This is why we need migrant workers. They could b rewarded w citizenship,homes,lives,respect and dignity. Besides, I love Mexican food. We can learn from each other making the world a better place. Except when those in power screw it all up. These r human beings. I for one welcome new food experiences. Food can bring ppl together."
@Yasmin_GDAM,ill  sell them my mom for some samosas 😂 shes a grifter
@metaforcesaber,"This is what people were clamoring for, Sonny actually being there in India, not just laying down narration over the top."
@rockpepper9563,The employees uniform goku&#39;s outfit.
@kpro88,This a cool addition to his series kudos to whoever thought of this now he can travel everywhere again doing similar things in all the countries woot woot.
@soleilrousseau,"I love all of the workers there that are like, &quot;Okay, my dude.&quot; 😅"
@ChuckleJackie,😀 you video is good.
@nisargborgavankar6750,india.❤❤
@goofynoodle4775,"Do you ever buy something from a vendor for dirt cheap, and just like give the guy a 10 and make him rich?"
@unknownk8738,That samosa is a joke. Real authentic samosa is not that flat. Samosa which can kind if sit on its base is the authentic kind of samosa. This samosa is just made in a hurry.
@jamesandgames7567,Open toes in the kitchen lol
@theone6897,320$ to feed 16000 people... not bad
@kathy5083,"Sonny in India 🇮🇳 ,finally a video I have been waiting for with him in it.Thank you 😊"
@Abcd54321xyz,Bro next time use a correct map of india
@Indo_chef,Samosas cost $1.50 each in my city now. Back in college they were 3-5 for $1
@nothingFORtoday123,respecting you for eating in the indian way
@YohanesRobby,Indonesian Gov must watch this right now
@fz259,I was just wondering why this level of pride is not in the US. Or smarts.
@nikkiseashores82,To me a good samosa has light crispy dough. Those are too thick.
@CheeMzLol,ur looking fit bro keep it up!
@sbcroix,"Sonny, your meal cost 4 cents, because you got double everything"
@Michaelax5i,"These charity kitchens are doing incredible work, and I&#39;d love to travel to India one day to assist with one of them. Cooking is a passion, and I enjoy giving back."
@MrSach2910,So great to see someone truly represent.... Hats Off..!!!
@serialchillaxer,For everyone commenting about incorrect map of India pls remember most of the Americans don&#39;t know where India is on the map so you people are expecting too much just chill and enjoy the video 😮‍💨
@Zaheerjani68,To much dirty food in india 😅 no cleaning
@shubhampatil481,Love from India sonny! Really appreciate that you&#39;ve covered this in your video and glad that you honestly enjoyed the food. You are the best!!!
@nothingFORtoday123,come to south
@SPak-rt2gb,Samosa 💩😄
@floridianslip,They eat cow poop lmao
@MomoK111,You are the best!!!!!!
@anupjangid9192,welcome to great hindu country india
@tommyfindlay,Don’t think it’s peanuts but chick peas 😂🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿
@saanjeeva,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=61"">1:01</a> I am very sad to see that you have completely misused the map of India :("
@stucrawford6230,Amazing Work
@stlabido11,"I enjoyed watching this. ❤<br>Check out dabbawala, great delivery service they got in India."
@tommyfindlay,Why has the samosa filling guy only wearing one glove 😂😂😂🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿
@curry309,Those rice ovens are expensive pieces of equipment ☠️☠️they use them in 5 star hotels damn
@Dionysia1,and to think of the disgusting food that is given to patients and sold in hospitals in the west..... give me this any day
@shadn8234,"I know they do stuff differently in India , but no shoes whiles they are working in the kitchen with hot oil and heavy kitchen equipment is wild !!"
@travisbruce5096,"I&#39;m extremely amazed how you have eaten more types of foods than anyone on earth, literally and still maintain your same size over all these years💪"
@josuazeroo2011,"Man, Indonesia could learn a lot from this with the bullshit free meal for school"
@Idk_and_Idk,"Don’t understand how everyone says this is hygienic, one dude was raw dogging the floor without shoes. Half of them didn’t even wear gloves when needed. Bollywood performance by them"
@mmmlinux,cancels best ever india. immediately goes to india.
@travelling_tortolitas,💙🌎✨amazing
@freespeech198,"That&#39;s great,good food and very good quality for those that haven&#39;t got it 😊"
@dirkbalding6799,My dude that intro shot was cool 😎
@sin7wu,I thought those were hotdogs too.
@anirudddddh,Why did u cut the Indian map
@splizer101,Nice one!
@ibec69,The hygiene standards of the first place and the food factory are night and day.
@serialchillaxer,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=613"">10:13</a> For those who doesn&#39;t get that it&#39;s &quot;Asafoetida&quot;."
@forhike,Black dots in the dough must be ratshit
@forhike,good poop meme
@healthfitnessworlds6336,Love you brother ❣️❣️❣️❣️
@AshaReddy-n3d,"Hi Sonny, when you go to places like these, do you contribute financially?"
@dongyschlontong-ck5xg,They should start another charity that makes cheap cutlery or hand sanitiser.
@oguzhangurbuz3021,The guy is working in the back with no shoes no socks wtf is that no wonder why people say Indian food is dirty with all respect where is the health regulations
@mykolapolataiko7403,Definitely only wearing gloves for you Sonny! Look at them toes!!!!!
@ericconnor7801,"It&#39;s so sad that what we in America consider an underdeveloped country care enough to feed the poor people who need it but we , the greatest country in the world can&#39;t do this."
@Drew.Murdaugh,it seems that the factory kitchens  NETT hygiene standards than the street food
@GautamYadav-jb7xw,Where is J&amp;K ????? Dts very offensive. . Plz don&#39;t so that....😢
@JustMe-t9g,Amazing it is indeed..much love.. respect 💙🙏🐾💖
@giyaasibrahim1806,Hygiene is next level😂😂😂
@BlackDogBBQ,"Not just in India. In every Sikh temple across the world, every lunch they feed those who want it."
@sezfar1232,"Bro its not cheap, ITS FREE MAN"
@hrishikeshsarma738,him: &quot;bad samosa is that uses bad potato&quot;<br>him: proceeds using green potatos
@arihantjain2902,Please correct indian map
@ericmorrison278,"God, I love this so much. Cooking is one of my favorite things, especially if it serves others. I worked multiple fast food services, and at each one, I cultivated a following of people who would only come in if I was working. I took my service role as an opportunity to try changing the vibes at most fast-food stores. I knew if I ever were to run my own restaurant, I would help those in need with food. This stuff they do in India is fucking awesome. That&#39;s real unity there."
@anu235,"Hey Sunny, do you have a Pakistani or Chinese video editor, as you are showing an incorrect map of India in your video? As an Indian, I can see this is totally incorrect."
@caymanjoe2527,"The potato pealing machine, is what we call the catering industry a rumbler.."
@taniasteyn4078,The US has a lot to learn.
@SabbirIslam-pb1bl,the cleanest indian food i have ever seen
@BexiAF,What they do is amazing. I hope to see more videos like this charity work and factories.
@bababab991,I was looking for somewhere to spoil my gf for our anniversary 👍
@khareldn,I was shocked that Sonny didn&#39;t know about &#39;bottle gourd&#39; or &#39;water gourd&#39; and pronounced it as water guard. 😱
@MondayMorning-yv7nf,........ if you had put such videos on your India channel.............
@dntansrqs1341,India is the dirtiest country on earth
@Asymmetrical-Saggin,Slop
@dudeilligence6441,Really specifying the &quot;never before used oil&quot; and the hygiene- absolutely sponsored lol
@epilepticquenga1161,Bandana wearing head ass lol
@Peilis,"This food support🥬🥦 comes from Europe if not for it, those unemployed lazy bums would have died a long time ago <a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a>"
@mentat1341,Not just a voice over? Sunny actually went to India??? lol he is 2 years behind his own channel
@Scarhead_Ed,Title 4dwelfare cowards. Everything else is a byproduct
@mohitram6922,"India celebrates all kinds of vegetables like no other, so complex flavoured dishes yet not a single ounce of meat 👏."
@tahajudmalam1579,spoon fork n sunni after taste behind the scene is a secret n prohibited for the viewers reaction.
@Thuglife-qg8ei,Bro next time eat samosa with chatni or chana
@andrewall3193,One thing about Indian food to note…. It’s always well seasoned
@melissadunton3534,"Excellent. I love seeing a spotlight being shown on the clean and hygienic food that is available in India. And of course seeing how much the charity does with feeding ppl was just beautiful. <br>We need something like that in the US. I’m a frequent flyer in the hospital and the amount of money spent on food by my loved ones over the years is ridiculous. Most hospitals will allow you ONE tray for a family member. It’s not free, it still get billed to you. Nothing in America is free. But if they’re charging it to your insurance anyway I don’t see why you can’t order as many extra trays as you’d like. It’s all politics. We would be so much better off with a charity like this…to come in to hospitals and serve up a free or even extremely discounted meal."
@saumyasrg,India is an experience
@Chef_Kordian,jesus that is the most hygienic place in india i think xd
@DoubleToxic,Welcome to India❤❤❤
@bmw_za,FYI drumstick = okra
@menkros1,Sweet
@animal1853,"Whats the song name <a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=802"">13:22</a>?????"
@zsjangello,Sonny: Seeeeasoning is not an English word 😅
@virtualhotline,"stop promoting this awful country, also sonny is falling off bro needs to up his game"
@Muthomigi,"This is the longest I&#39;ve waited for Sonny to upload a video,"
@tsheposos,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=122"">2:02</a> this kitchen is so dirty 😭"
@aniket9761,"with such a great editing team, please get the Indian map corrected @<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=60"">1:00</a> timestamp."
@Suikage,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=615"">10:15</a> the only reason I know about that spice is because Tasting History with Max Miller 😅"
@LODOMARNDI-o4u,This asshxxx need views from India
@jabbsy96,You could not pay me to go to this country.
@sADYc,"The plate is nothing like we eat in the North-West Europe, we have a limit, per household, when frozen pizza is on discount. Our frozen pizza is exactly how it sounds: something with no resemblance to real ingredients. It costs 5$ per 550g and is often discounted to 3$. This is what means to be rich, not eating real food and way overpay for it!😅 (for my Indian friends, I am being sarcastic, the plate and food looks absolutely amazing and seeing how is made it makes me happy  for you and really sad for me; more vitamin D please, summer should be here, in about 5 months from now)😂"
@tonyduncan9852,I hope the Indians can help the English.  😎
@Ed___1234,With a kitchen like that it’s no wonder they are all skinny. They’re all sh***ing their brains out constantly.
@EdwardCarloni,Spoons.??
@artislandbarbados7268,Well done Sonny! Great work man. Highlighting humanity
@FunLovingCriminal_JB,This is humanity at its finest ❤
@walidjayyousi2874,جولة جميلة جدا شكرا لكم
@mordfustang3794,And comes the ignorant and rac1st wh1te people and pakistanis....
@joshuad2189,This is clearly a Prasadam. Hare Krshna! Hare Rama!
@arunthakur1708,Please correct indian😢 map. This is  disrespectful to show distort map of our country.
@kiansan,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=179"">2:59</a> Thanks for reminding, but he doesn&#39;t care"
@Naltddesha,A country of 1 billion people. Who need to stay right where there are.
@maheshkumarnayak8883,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=60"">1:00</a> why there is a wrong Indian map that’s disrespectful"
@erendurak4654,The AI artwork is so cringe - please stop.
@jessetellez1734,Great to have you back!
@adamdallas5391,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=543"">9:03</a> 😂😂😂😂"
@jarceevenus,That drumstick is a moringa fruit
@petejablowski2123,Safest place to eat in the whole country guaranteed
@Gremlack13,Sambar is one of my favorite Indian dishes. <br>I love the hell out of the dosa to continue and like idli as well. <br>My wife makes it just like we had it in southern India visiting her family.
@MrGibbie2210,"Amazing content, more amazing is how their government can fund and front these companies to produce a staple meal for thousands for free. Everyone looks happy and healthy. Well done Sonny for bringing this to our screens."
@sowemove26,Where you been??? 🤨
@apriljoymontepio7418,Finallllllly! 🎉 HAHAHAHA been waiting for years. 😂😂 Thanks sonny and team. 🫰
@PaleHorseO.o,I use my bathroom hand to eat this.
@Vileboost,White Americans would never allow this in America
@nishantpatil483,"Samosa Empire, bois"
@jc-tu6pg,How many times did sonny get diarrhea?
@buzzlightyear7752,"The hospital in this video is KEM Hospital in Mumbai, where I did my residency from.<br>N I still live behind KEM Hospital. I wonder, how did i miss a chance to meet sonny.."
@thestarseeker8196,"Thank you so much for going into some of what contributes to the math needed to conjure these huge vats, thinking about the logistics was making my 🧠 hurt"
@___ooobodybagooo___,But their sanitation and crime is terrible
@eunji_editss,"hi! I saw you in hoi an, vietnam today. Thank you!"
@avonan,Seing people whos way of life is wiping their behind with their bare hands and then go on to make FOOD without gloves is not for me man. Especially when the food looks like what they excrete. Godspeed
@jurriaanvanderlinden3605,"This is beautiful. I was very surprised to see how hygienic they work in the big factory. They came a long way. Thank you for taking us with you, Sonny🙏🏻💜"
@RobertVonSeiffenstein,"2 cents feed 16,000 people... you are nuts..."
@Picit-13,Bless them!
@mokisan,That charity thing is awesome
@chefahi1299,"Sonny, please dismiss the “gotcha-anti AI/psuedo-intellectual hygiene nerds” and the supposed self-congratulatory experts on all things food. People being fed on that scale, with that much care, even if it is on an industrial scale, is truly a blessing. Good stuff my man. 🙏"
@patient_6925,Mmmm mass produced curry slop in a trash can
@petervu7230,Hygiene is illegal there
@srikantshetty893,Thane ❤
@hanny4545,bro is sponsored by samosa
@thestarseeker8196,Millions of people and I just need one wife 😔 🪦
@susan_elizabeth,The charity kitchen is so inspiring! 🔥 🙏🔥
@shinigamiusagi4463,Everyone in the first restaurant looks so lost. I love it.😂😂
@lordquinnward,these charity kitchens are doing amazing work id honestly love to one day travel to india just to help with one of these places. cooking is a passion and i love giving back
@bisis499,Delete
@theuser6969,good morning sir
@likewise_a_realist,Good God this guy showed the wrong map of India. Excluding the northern state.
@FonFreeze,very well peeled potatoes :D
@jessicaleblanc-nh1yl,"This video offered me a little bit of hope to add to my already overflowing vessel of it. Love your energy, humor &amp; creativity. It shows those that you are around that you are a good one. Sincere appreciations. 🌿🌺🌿"
@klavdy,Hygiene is illegal in India.
@SarthakRauts,"If you wanna have the best samosa, it should be Gurukripa, Sion, Mumbai samosa, they have the best samosa, nothing competes"
@robertslusher3116,Wow. Why the hell cant USA copy
@smaug9833,"Green peas don&#39;t go well with samosas. Roasted peanuts are far better. Finally, a samosa chain that does it well."
@AmericaFirst-Texan,Barefoot guy making samosas.
@Raftic,The goofy edit of combined pictures still better than that samosa kingdom picture :)
@jerisergedunphy,That &quot;drumstick&quot; looked like okra
@ThinkfreeorDie,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=870"">14:30</a> Big bags of what now?"
@xxxibntsy,this video might change the world&#39;s mind. every restaurant and their staff looks hygiene when preparing the food!
@ahmadhamimthohari2652,Indonesian Government really need to see this
@Reapersbunny,Holy cow the dude moved fast
@Saksham-zz4rj,Nice
@nukeracer3906,"Could you clarify the price? Using the link provided, it says a $100 donation only provides 2 meals. $50 each is much more than $0.02 each."
@CatmanToxo,Amazing resourcful people
@Frebbyy,Looks like its good for the immune system 😂😂
@MRlebellion,Stop using AI slop
@jerisergedunphy,I uesd one of those potatoe tumblers for years at a seafood restaurant i worked at
@leadlacedanarchy9341,And now you wonder why they crap in the streets
@deadzio,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=410"">06:50</a> what religion/believes does to people is beyond stupidity."
@paparoti4006,Pag Pag Manila crew
@Jay-su2gl,The wait is over! We have Indian series coming ❤
@polarfamily6222,I know someone who&#39;s been in the hospital for doing stupid stuff like that to their diet. We do not need that.
@KOOL_DUDE56778,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=104"">1:44</a> I JUST SAW A GREEN POTATO THAT AIN&#39;T SAFE FOR CONSUMPTION!!!!"
@AB78,I love what India is doing 🫶
@ShaunLevett,The only country where you can eat as much as you want and come home 30kg lighter. 🚽
@Laurencetw,many of commenters here have channels that are only 3 hours old. very sus.
@jojogalit2750,Wow after 2 weeks finally Sonny came alive anyway it’s good to see your video again Sonny welcome back 👏👏👏
@annunakian8054,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=115"">1:55</a> potato noodity 🙈🥔"
@1LotusNoir,What a disgusting country.
@BobaPhettamine,Indians talking about hygiene  is the funniest thing ever with their dirty ass kitchen and machinery that&#39;s probably never been  cleaned and is rusty and the main seasoning  being blood and sweat.
@jacobfoster9185,I got horrified looks from every one of my students for carrying buttermilk ranch to dip these into 😂
@Karamelaki,He finally went there 😂❤❤❤
@AVALINEWills,I love BEFRS I LOVE INDIA. 🇮🇳 I LOVE EVERYONE  READING THIS ❤❤
@ashleyzviitei,Hey Sonny...watching from South Africa 🇿🇦.
@solusvoid4283,much love from Australia!
@Chavez-no5vk,Like ooooooof
@ummigalau,😋
@LucaFloreaUA,Please. Stop putting AI generated &quot;content&quot; in the videos. It&#39;s highly distasteful to say the least.
@jacobfoster9185,Absolutely NOTHING in India looks hygienic 😂<br>🙁 I apologize. I stand corrected by this charity kitchen
@OctaviusHallstrom,So many sEASONings!!
@TimK2646,Samosa filling guy is so amazing!!!  He&#39;s a &quot;WRAP-MAN!!!&quot;. TBF the whole team there is amazing.
@oli7711,Well 💩😳😂
